SiteName,SiteLat,SiteLong,SiteElevation
RP-9-1,48.50789731,120.7340621,1482
RP-9-2,48.50790958,120.7342989,1514
RP-9-3,48.50764661,120.7346385,1515
RP-9-4,48.50754203,120.734531,1520
RP-9-5,48.50769,120.73383,1495
RP-9-6,48.50794,120.7341,1507
RP-9-A,NA,NA,NA
RP-6-1,48.61598056,120.4026922,1233
RP-6-2,48.61618756,120.4030738,1238
RP-6-3,48.61662517,120.4029776,1263
RP-6-4,48.61647747,120.4025944,1269
RP-6-5,48.61626,120.4025,NA
RP-6-6,48.61626,120.40292,1236
RP-6-A,48.61607,120.40303,1240
RP-1-1,48.58948814,120.3732697,830
RP-1-2,48.58929142,120.3728584,746
RP-1-3,48.58968828,120.3734811,776
RP-1-4,48.58965436,120.3731101,731
RP-1-A,48.58948,120.37344,772
RP-1B-5,48.51943,120.73218,1522
RP-1B-6,48.51928,120.73238,1514
RP-1B-A,48.51931,120.73214,1515
RP-4-1,48.60722186,120.3829422,1017
RP-4-2,48.60705358,120.3831233,1025
RP-4-3,48.60732356,120.3835185,1033
RP-4-4,48.60760178,120.3831664,1035
RP-4-5,48.60727,120.38412,1036
RP-4-6,48.60741,120.3839,1036
RP-4-A,48.60721,120.38305,1025
RP-2-1,48.5944105,120.369376,822
RP-2-2,48.59442292,120.3690446,831
RP-2-3,48.59437158,120.3697557,830
RP-2-4,48.59425981,120.370095,833
RP-2-5,48.59391,120.3839,842
RP-2-6,48.59412,120.37054,831
RP-2-A,48.59432,120.36961,833
RP-5-1,48.61377244,120.4084096,1121
RP-5-2,48.61396425,120.4088707,1121
RP-5-3,48.61444661,120.4086012,1134
RP-5-4,48.61447178,120.4082478,1137
RP-5-5,48.61365,120.40813,1110
RP-5-6,48.61399,120.40855,1117
RP-5-A,48.61399,120.40872,1127
RP-7-1,48.619749,120.4137668,1371
RP-7-2,48.62002611,120.4135229,1390
RP-7-3,48.62050961,120.4133537,1422
RP-7-4,48.62064575,120.4136648,1425
RP-7-5,48.62019,120.41365,1405
RP-7-6,48.62048,120.41377,1411
RP-7-A,48.62016,120.41345,1395
RP-10-1,48.50872106,120.7388889,1594
RP-10-2,48.50870253,120.739279,1605
RP-10-3,48.50863406,120.7396998,1613
RP-10-4,48.50865194,120.7399059,1613
RP-10-5,48.50877,120.74017,1628
RP-10-6,48.50893,120.73981,1633
RP-10-A,48.50866,120.73999,1621
RP-14-1,48.50201522,120.7527637,2016
RP-14-2,48.50182647,120.7528048,2015
RP-14-3,48.50195122,120.7531215,2026
RP-14-4,48.50183314,120.7534704,2028
RP-14-5,48.50192,120.75315,2028
RP-14-6,48.50178,120.7532,2026
RP-14-A,48.50194,120.7532,2021
RP-12-1,48.50571375,120.7433806,1813
RP-12-2,48.50568822,120.7432832,1811
RP-12-3,48.50555831,120.7435955,1821
RP-12-4,48.50562417,120.7434635,1820
RP-12-5,48.50573,120.74347,1811
RP-12-6,48.5056,120.74352,1817
RP-12-A,48.50546,120.74327,1807
RP-13-1,48.50406619,120.7458974,1890
RP-13-2,48.50394558,120.7459599,1891
RP-13-3,48.50398364,120.7461574,1900
RP-13-4,48.50386442,120.7461074,1909
RP-13-5,48.50413,120.74583,1897
RP-13-6,48.50402,120.74567,1879
RP-13-A,48.50384,120.74619,1908
RP-3-1,48.58818,120.47921,794
RP-3-2,48.58815,120.47934,814
RP-3-A,48.5884,120.47934,813
RP-8-1,48.59734,120.51945,908
RP-8-2,48.59735,120.51953,904
RP-8-A,48.5974,120.51928,912
RP-11-1,48.5828,120.62156,1111
RP-11-2,48.58258,120.62149,1108
RP-11-A,48.58272,120.62138,1112
RP-15-1,48.52738,120.64973,1720
RP-15-2,48.52748,120.64978,1723
RP-15-A,48.5274,120.6495,1721
MB-1-1,48.84827,121.90318,534
MB-1-2,48.84809,121.90319,526
MB-1-A,48.84816,121.90319,540
MB-2-1,48.83325,121.90669,672
MB-2-2,48.83346,121.90664,681
MB-2-A,48.83339,121.90656,676
MB-3-1,48.82277,121.90723,825
MB-3-2,48.82281,121.90732,824
MB-3-A,48.82297,121.90714,844
MB-4-1,48.8147,121.89475,963
MB-4-2,48.81463,121.89468,977
MB-4-A,48.81459,121.90714,844
MB-5-1,48.4092,121.90802,1264
MB-5-2,48.80931,121.90571,1267
MB-5-A,48.80927,121.90592,1269
MB-6-1,48.90723,121.80757,535
MB-6-2,48.9083,121.80761,515
MB-6-A,48.90724,121.80769,514
MB-7-1,48.88886,121.67259,745
MB-7-2,48.88892,121.67245,744
MB-7-A,48.88869,121.67238,748
MB-8-1,48.87073,121.66431,950
MB-8-2,48.87088,121.66412,950
MB-8-A,48.86073,121.66427,951
MB-9-1,48.86696,121.66187,1107
MB-9-2,48.86683,121.66193,1122
MB-9-A,48.86692,121.66199,1112
MB-10-1,48.86727,121.67757,1267
MB-10-2,48.86739,121.67776,1267
MB-10-A,48.86743,121.67754,1275
MB-11-1,48.84918,121.68543,1437
MB-11-2,48.84953,121.68551,1441
MB-11-A,48.84931,121.68539,1441
MB-12-1,48.91705,121.85755,1093
MB-12-2,48.9171,121.85743,1098
MB-12-A,48.91708,121.85723,1103
MB-13-1,48.92098,121.85629,1339
MB-13-2,48.92102,121.85658,1337
MB-13-A,48.92081,121.85652,1332
MB-14-1,48.92572,121.85905,1472
MB-14-2,48.92573,121.85918,1474
MB-14-A,48.92566,121.8589,1480
MB-15-1,48.925,121.86886,1585
MB-15-2,48.92511,121.86859,1586
MB-15-A,48.925,121.86865,1581