Date,Site,Canopy,Plot,SurveyPeriod,Species,N_end,Notes
2019-07-16,RP-1B,open,a,1,sun,1,lots of foliage in open canopy
2019-07-16,RP-1B,open,b,1,sun,0,"Vac… PICENG, silver fir, hemlock, doug…"
2019-07-16,RP-1B,open,c,1,sun,0,
2019-07-16,RP-1B,open,a,2,sun,0,
2019-07-16,RP-1B,open,b,2,sun,0,
2019-07-16,RP-1B,open,c,2,sun,0,
2019-07-16,RP-1B,open,a,1,oats,4,
2019-07-16,RP-1B,open,b,1,oats,7,
2019-07-16,RP-1B,open,c,1,oats,0,
2019-07-16,RP-1B,open,a,2,oats,0,
2019-07-16,RP-1B,open,b,2,oats,2,
2019-07-16,RP-1B,open,c,2,oats,0,
2019-07-16,RP-1B,closed,a,1,sun,1,
2019-07-16,RP-1B,closed,b,1,sun,0,
2019-07-16,RP-1B,closed,c,1,sun,1,
2019-07-16,RP-1B,closed,a,2,sun,1,
2019-07-16,RP-1B,closed,b,2,sun,0,
2019-07-16,RP-1B,closed,c,2,sun,0,
2019-07-16,RP-1B,closed,a,1,oats,7,
2019-07-16,RP-1B,closed,b,1,oats,8,
2019-07-16,RP-1B,closed,c,1,oats,2,
2019-07-16,RP-1B,closed,a,2,oats,2,
2019-07-16,RP-1B,closed,b,2,oats,6,
2019-07-16,RP-1B,closed,c,2,oats,5,
2019-06-12,RP-2,open,a,1,sun,1,high levels of foliage
2019-06-12,RP-2,open,b,1,sun,0,"VAC… sunflower-like plants, dougs, hemlock"
2019-06-12,RP-2,open,c,1,sun,0,"brown and black ants, beetles…"
2019-06-12,RP-2,open,a,2,sun,2,
2019-06-12,RP-2,open,b,2,sun,1,
2019-06-12,RP-2,open,c,2,sun,1,
2019-06-12,RP-2,open,a,1,oats,0,
2019-06-12,RP-2,open,b,1,oats,0,
2019-06-12,RP-2,open,c,1,oats,1,
2019-06-12,RP-2,open,a,2,oats,4,
2019-06-12,RP-2,open,b,2,oats,5,
2019-06-12,RP-2,open,c,2,oats,0,
2019-06-12,RP-2,closed,a,1,sun,3,
2019-06-12,RP-2,closed,b,1,sun,0,
2019-06-12,RP-2,closed,c,1,sun,1,
2019-06-12,RP-2,closed,a,2,sun,0,
2019-06-12,RP-2,closed,b,2,sun,0,
2019-06-12,RP-2,closed,c,2,sun,0,
2019-06-12,RP-2,closed,a,1,oats,2,
2019-06-12,RP-2,closed,b,1,oats,0,
2019-06-12,RP-2,closed,c,1,oats,1,
2019-06-12,RP-2,closed,a,2,oats,7,
2019-06-12,RP-2,closed,b,2,oats,0,
2019-06-12,RP-2,closed,c,2,oats,5,
2019-06-12,RP-3,open,a,1,sun,1,very steep slope. 
2019-06-12,RP-3,open,b,1,sun,1,"lots of LUPLAT, PINPON, Doug…"
2019-06-12,RP-3,open,c,1,sun,0,black and red ants near depots
2019-06-12,RP-3,open,a,2,sun,0,
2019-06-12,RP-3,open,b,2,sun,0,
2019-06-12,RP-3,open,c,2,sun,1,
2019-06-12,RP-3,open,a,1,oats,0,
2019-06-12,RP-3,open,b,1,oats,0,
2019-06-12,RP-3,open,c,1,oats,0,
2019-06-12,RP-3,open,a,2,oats,3,
2019-06-12,RP-3,open,b,2,oats,0,
2019-06-12,RP-3,open,c,2,oats,0,
2019-06-12,RP-3,closed,a,1,sun,0,
2019-06-12,RP-3,closed,b,1,sun,0,
2019-06-12,RP-3,closed,c,1,sun,0,
2019-06-12,RP-3,closed,a,2,sun,4,
2019-06-12,RP-3,closed,b,2,sun,0,
2019-06-12,RP-3,closed,c,2,sun,0,
2019-06-12,RP-3,closed,a,1,oats,2,
2019-06-12,RP-3,closed,b,1,oats,0,
2019-06-12,RP-3,closed,c,1,oats,0,
2019-06-12,RP-3,closed,a,2,oats,0,
2019-06-12,RP-3,closed,b,2,oats,0,
2019-06-12,RP-3,closed,c,2,oats,0,
2019-08-12,RP-3,open,a,1,sun,0,
2019-08-12,RP-3,open,b,1,sun,0,Site nearby river
2019-08-12,RP-3,open,c,1,sun,0,
2019-08-12,RP-3,open,a,2,sun,0,
2019-08-12,RP-3,open,b,2,sun,0,
2019-08-12,RP-3,open,c,2,sun,1,
2019-08-12,RP-3,open,a,1,oats,1,
2019-08-12,RP-3,open,b,1,oats,0,
2019-08-12,RP-3,open,c,1,oats,0,
2019-08-12,RP-3,open,a,2,oats,0,
2019-08-12,RP-3,open,b,2,oats,0,
2019-08-12,RP-3,open,c,2,oats,1,
2019-08-12,RP-3,closed,a,1,sun,0,
2019-08-12,RP-3,closed,b,1,sun,0,
2019-08-12,RP-3,closed,c,1,sun,1,
2019-08-12,RP-3,closed,a,2,sun,0,
2019-08-12,RP-3,closed,b,2,sun,0,
2019-08-12,RP-3,closed,c,2,sun,0,
2019-08-12,RP-3,closed,a,1,oats,0,
2019-08-12,RP-3,closed,b,1,oats,0,
2019-08-12,RP-3,closed,c,1,oats,3,
2019-08-12,RP-3,closed,a,2,oats,0,
2019-08-12,RP-3,closed,b,2,oats,2,
2019-08-12,RP-3,closed,c,2,oats,0,
2019-06-12,RP-4,open,a,1,sun,4,Rained heavily overnight 
2019-06-12,RP-4,open,b,1,sun,3,very open terrain… flat surroundings 
2019-06-12,RP-4,open,c,1,sun,4,"lots of birds and squirrels, heavy ant pred. "
2019-06-12,RP-4,open,a,2,sun,0,
2019-06-12,RP-4,open,b,2,sun,0,
2019-06-12,RP-4,open,c,2,sun,0,
2019-06-12,RP-4,open,a,1,oats,7,
2019-06-12,RP-4,open,b,1,oats,8,
2019-06-12,RP-4,open,c,1,oats,7,
2019-06-12,RP-4,open,a,2,oats,4,
2019-06-12,RP-4,open,b,2,oats,7,
2019-06-12,RP-4,open,c,2,oats,3,
2019-06-12,RP-4,closed,a,1,sun,4,
2019-06-12,RP-4,closed,b,1,sun,3,
2019-06-12,RP-4,closed,c,1,sun,0,
2019-06-12,RP-4,closed,a,2,sun,0,
2019-06-12,RP-4,closed,b,2,sun,0,
2019-06-12,RP-4,closed,c,2,sun,2,
2019-06-12,RP-4,closed,a,1,oats,2,
2019-06-12,RP-4,closed,b,1,oats,6,
2019-06-12,RP-4,closed,c,1,oats,0,
2019-06-12,RP-4,closed,a,2,oats,5,
2019-06-12,RP-4,closed,b,2,oats,0,
2019-06-12,RP-4,closed,c,2,oats,5,
2019-06-12,RP-5,open,a,1,sun,0,Very wet from rain
2019-06-12,RP-5,open,b,1,sun,4,ants. Lots of foliage. Heavy damaged seeds. 
2019-06-12,RP-5,open,c,1,sun,0,"oregon grape, PINPON, VAC…."
2019-06-12,RP-5,open,a,2,sun,4,
2019-06-12,RP-5,open,b,2,sun,1,
2019-06-12,RP-5,open,c,2,sun,0,
2019-06-12,RP-5,open,a,1,oats,5,
2019-06-12,RP-5,open,b,1,oats,5,
2019-06-12,RP-5,open,c,1,oats,3,
2019-06-12,RP-5,open,a,2,oats,7,
2019-06-12,RP-5,open,b,2,oats,5,
2019-06-12,RP-5,open,c,2,oats,5,
2019-06-12,RP-5,closed,a,1,sun,0,
2019-06-12,RP-5,closed,b,1,sun,0,
2019-06-12,RP-5,closed,c,1,sun,0,
2019-06-12,RP-5,closed,a,2,sun,2,
2019-06-12,RP-5,closed,b,2,sun,0,
2019-06-12,RP-5,closed,c,2,sun,5,
2019-06-12,RP-5,closed,a,1,oats,7,
2019-06-12,RP-5,closed,b,1,oats,8,
2019-06-12,RP-5,closed,c,1,oats,3,
2019-06-12,RP-5,closed,a,2,oats,3,
2019-06-12,RP-5,closed,b,2,oats,4,
2019-06-12,RP-5,closed,c,2,oats,4,
2019-06-12,RP-6,open,a,1,sun,0,outlier
2019-06-12,RP-6,open,b,1,sun,0,"heavy predation, ample invertebrates - ant hills"
2019-06-12,RP-6,open,c,1,sun,0,
2019-06-12,RP-6,open,a,2,sun,0,
2019-06-12,RP-6,open,b,2,sun,0,
2019-06-12,RP-6,open,c,2,sun,0,
2019-06-12,RP-6,open,a,1,oats,0,
2019-06-12,RP-6,open,b,1,oats,2,
2019-06-12,RP-6,open,c,1,oats,0,
2019-06-12,RP-6,open,a,2,oats,0,
2019-06-12,RP-6,open,b,2,oats,7,
2019-06-12,RP-6,open,c,2,oats,1,
2019-06-12,RP-6,closed,a,1,sun,0,
2019-06-12,RP-6,closed,b,1,sun,1,
2019-06-12,RP-6,closed,c,1,sun,0,
2019-06-12,RP-6,closed,a,2,sun,0,
2019-06-12,RP-6,closed,b,2,sun,0,
2019-06-12,RP-6,closed,c,2,sun,1,
2019-06-12,RP-6,closed,a,1,oats,0,
2019-06-12,RP-6,closed,b,1,oats,5,
2019-06-12,RP-6,closed,c,1,oats,0,
2019-06-12,RP-6,closed,a,2,oats,2,
2019-06-12,RP-6,closed,b,2,oats,0,
2019-06-12,RP-6,closed,c,2,oats,3,
2019-06-12,RP-7,open,a,1,sun,2,very dry climate  open canopy is very open cow damage
2019-06-12,RP-7,open,b,1,sun,5,"PINPON, sunflower-like plants"
2019-06-12,RP-7,open,c,1,sun,0,"cow presence, black ants "
2019-06-12,RP-7,open,a,2,sun,5,
2019-06-12,RP-7,open,b,2,sun,3,
2019-06-12,RP-7,open,c,2,sun,5,
2019-06-12,RP-7,open,a,1,oats,8,
2019-06-12,RP-7,open,b,1,oats,4,
2019-06-12,RP-7,open,c,1,oats,8,
2019-06-12,RP-7,open,a,2,oats,8,
2019-06-12,RP-7,open,b,2,oats,2,
2019-06-12,RP-7,open,c,2,oats,8,
2019-06-12,RP-7,closed,a,1,sun,3,
2019-06-12,RP-7,closed,b,1,sun,3,
2019-06-12,RP-7,closed,c,1,sun,4,
2019-06-12,RP-7,closed,a,2,sun,3,
2019-06-12,RP-7,closed,b,2,sun,2,
2019-06-12,RP-7,closed,c,2,sun,1,
2019-06-12,RP-7,closed,a,1,oats,7,
2019-06-12,RP-7,closed,b,1,oats,7,
2019-06-12,RP-7,closed,c,1,oats,8,
2019-06-12,RP-7,closed,a,2,oats,4,
2019-06-12,RP-7,closed,b,2,oats,7,
2019-06-12,RP-7,closed,c,2,oats,8,
2019-06-12,RP-8,open,a,1,sun,0,heavy predation
2019-06-12,RP-8,open,b,1,sun,0,site located along a river. Densely vegetated - ample shrubs
2019-06-12,RP-8,open,c,1,sun,0,
2019-06-12,RP-8,open,a,2,sun,0,
2019-06-12,RP-8,open,b,2,sun,0,
2019-06-12,RP-8,open,c,2,sun,0,
2019-06-12,RP-8,open,a,1,oats,0,
2019-06-12,RP-8,open,b,1,oats,0,
2019-06-12,RP-8,open,c,1,oats,4,
2019-06-12,RP-8,open,a,2,oats,1,
2019-06-12,RP-8,open,b,2,oats,0,
2019-06-12,RP-8,open,c,2,oats,0,
2019-06-12,RP-8,closed,a,1,sun,2,
2019-06-12,RP-8,closed,b,1,sun,5,
2019-06-12,RP-8,closed,c,1,sun,0,
2019-06-12,RP-8,closed,a,2,sun,0,
2019-06-12,RP-8,closed,b,2,sun,0,
2019-06-12,RP-8,closed,c,2,sun,0,
2019-06-12,RP-8,closed,a,1,oats,3,
2019-06-12,RP-8,closed,b,1,oats,6,
2019-06-12,RP-8,closed,c,1,oats,0,
2019-06-12,RP-8,closed,a,2,oats,1,
2019-06-12,RP-8,closed,b,2,oats,0,
2019-06-12,RP-8,closed,c,2,oats,0,
2019-08-12,RP-8,open,a,1,sun,0, heavy predation
2019-08-12,RP-8,open,b,1,sun,0,"chipmunks and squirrels, lots of ants "
2019-08-12,RP-8,open,c,1,sun,0,
2019-08-12,RP-8,open,a,2,sun,0,
2019-08-12,RP-8,open,b,2,sun,5,
2019-08-12,RP-8,open,c,2,sun,1,
2019-08-12,RP-8,open,a,1,oats,0,
2019-08-12,RP-8,open,b,1,oats,0,
2019-08-12,RP-8,open,c,1,oats,0,
2019-08-12,RP-8,open,a,2,oats,1,
2019-08-12,RP-8,open,b,2,oats,8,
2019-08-12,RP-8,open,c,2,oats,3,
2019-08-12,RP-8,closed,a,1,sun,0,
2019-08-12,RP-8,closed,b,1,sun,0,
2019-08-12,RP-8,closed,c,1,sun,0,
2019-08-12,RP-8,closed,a,2,sun,1,
2019-08-12,RP-8,closed,b,2,sun,0,
2019-08-12,RP-8,closed,c,2,sun,0,
2019-08-12,RP-8,closed,a,1,oats,0,
2019-08-12,RP-8,closed,b,1,oats,0,
2019-08-12,RP-8,closed,c,1,oats,0,
2019-08-12,RP-8,closed,a,2,oats,1,
2019-08-12,RP-8,closed,b,2,oats,0,
2019-08-12,RP-8,closed,c,2,oats,1,
2019-06-12,RP-9,open,a,1,sun,4,"black ants, slugs, lots of birds, hemlock seeds"
2019-06-12,RP-9,open,b,1,sun,5,
2019-06-12,RP-9,open,c,1,sun,2,
2019-06-12,RP-9,open,a,2,sun,4,
2019-06-12,RP-9,open,b,2,sun,3,
2019-06-12,RP-9,open,c,2,sun,0,
2019-06-12,RP-9,open,a,1,oats,6,
2019-06-12,RP-9,open,b,1,oats,6,
2019-06-12,RP-9,open,c,1,oats,6,
2019-06-12,RP-9,open,a,2,oats,7,
2019-06-12,RP-9,open,b,2,oats,6,
2019-06-12,RP-9,open,c,2,oats,0,
2019-06-12,RP-9,closed,a,1,sun,5,
2019-06-12,RP-9,closed,b,1,sun,3,
2019-06-12,RP-9,closed,c,1,sun,3,
2019-06-12,RP-9,closed,a,2,sun,1,
2019-06-12,RP-9,closed,b,2,sun,4,
2019-06-12,RP-9,closed,c,2,sun,3,
2019-06-12,RP-9,closed,a,1,oats,7,
2019-06-12,RP-9,closed,b,1,oats,5,
2019-06-12,RP-9,closed,c,1,oats,7,
2019-06-12,RP-9,closed,a,2,oats,4,
2019-06-12,RP-9,closed,b,2,oats,7,
2019-06-12,RP-9,closed,c,2,oats,6,
2019-08-12,RP-11,open,a,1,sun,0,lone fir campground
2019-08-12,RP-11,open,b,1,sun,0,
2019-08-12,RP-11,open,c,1,sun,5,
2019-08-12,RP-11,open,a,2,sun,0,
2019-08-12,RP-11,open,b,2,sun,1,
2019-08-12,RP-11,open,c,2,sun,0,
2019-08-12,RP-11,open,a,1,oats,2,
2019-08-12,RP-11,open,b,1,oats,0,
2019-08-12,RP-11,open,c,1,oats,8,
2019-08-12,RP-11,open,a,2,oats,2,
2019-08-12,RP-11,open,b,2,oats,0,
2019-08-12,RP-11,open,c,2,oats,1,
2019-08-12,RP-11,closed,a,1,sun,0,
2019-08-12,RP-11,closed,b,1,sun,0,
2019-08-12,RP-11,closed,c,1,sun,4,
2019-08-12,RP-11,closed,a,2,sun,1,
2019-08-12,RP-11,closed,b,2,sun,1,
2019-08-12,RP-11,closed,c,2,sun,0,
2019-08-12,RP-11,closed,a,1,oats,0,
2019-08-12,RP-11,closed,b,1,oats,5,
2019-08-12,RP-11,closed,c,1,oats,7,
2019-08-12,RP-11,closed,a,2,oats,2,
2019-08-12,RP-11,closed,b,2,oats,2,
2019-08-12,RP-11,closed,c,2,oats,1,
2019-07-16,RP-15,open,a,1,sun,4,highest elevation
2019-07-16,RP-15,open,b,1,sun,2,mountain hemlock seeds
2019-07-16,RP-15,open,c,1,sun,0,
2019-07-16,RP-15,open,a,2,sun,2,
2019-07-16,RP-15,open,b,2,sun,5,
2019-07-16,RP-15,open,c,2,sun,0,
2019-07-16,RP-15,open,a,1,oats,8,
2019-07-16,RP-15,open,b,1,oats,8,
2019-07-16,RP-15,open,c,1,oats,1,
2019-07-16,RP-15,open,a,2,oats,8,
2019-07-16,RP-15,open,b,2,oats,8,
2019-07-16,RP-15,open,c,2,oats,0,
2019-07-16,RP-15,closed,a,1,sun,5,
2019-07-16,RP-15,closed,b,1,sun,0,
2019-07-16,RP-15,closed,c,1,sun,5,
2019-07-16,RP-15,closed,a,2,sun,5,
2019-07-16,RP-15,closed,b,2,sun,4,
2019-07-16,RP-15,closed,c,2,sun,2,
2019-07-16,RP-15,closed,a,1,oats,8,
2019-07-16,RP-15,closed,b,1,oats,2,
2019-07-16,RP-15,closed,c,1,oats,8,
2019-07-16,RP-15,closed,a,2,oats,8,
2019-07-16,RP-15,closed,b,2,oats,8,
2019-07-16,RP-15,closed,c,2,oats,6,
2019-07-08,MB-1,open,a,1,sun,0,lowest elevation
2019-07-08,MB-1,open,b,1,sun,0,lots of foliage. Inverts noticable.
2019-07-08,MB-1,open,c,1,sun,5,
2019-07-08,MB-1,open,a,2,sun,0,
2019-07-08,MB-1,open,b,2,sun,2,
2019-07-08,MB-1,open,c,2,sun,0,
2019-07-08,MB-1,open,a,1,oats,0,
2019-07-08,MB-1,open,b,1,oats,0,
2019-07-08,MB-1,open,c,1,oats,5,
2019-07-08,MB-1,open,a,2,oats,0,
2019-07-08,MB-1,open,b,2,oats,2,
2019-07-08,MB-1,open,c,2,oats,0,
2019-07-08,MB-1,closed,a,1,sun,0,
2019-07-08,MB-1,closed,b,1,sun,0,
2019-07-08,MB-1,closed,c,1,sun,1,
2019-07-08,MB-1,closed,a,2,sun,0,
2019-07-08,MB-1,closed,b,2,sun,1,
2019-07-08,MB-1,closed,c,2,sun,0,
2019-07-08,MB-1,closed,a,1,oats,0,
2019-07-08,MB-1,closed,b,1,oats,0,
2019-07-08,MB-1,closed,c,1,oats,2,
2019-07-08,MB-1,closed,a,2,oats,0,
2019-07-08,MB-1,closed,b,2,oats,2,
2019-07-08,MB-1,closed,c,2,oats,0,
2019-07-08,MB-2,open,a,1,sun,0,RAINED  second census. 
2019-07-08,MB-2,open,b,1,sun,0,mountain and common hemlock species. steep inclined site layout.
2019-07-08,MB-2,open,c,1,sun,1,
2019-07-08,MB-2,open,a,2,sun,1,
2019-07-08,MB-2,open,b,2,sun,0,
2019-07-08,MB-2,open,c,2,sun,0,
2019-07-08,MB-2,open,a,1,oats,0,
2019-07-08,MB-2,open,b,1,oats,0,
2019-07-08,MB-2,open,c,1,oats,2,
2019-07-08,MB-2,open,a,2,oats,4,
2019-07-08,MB-2,open,b,2,oats,0,
2019-07-08,MB-2,open,c,2,oats,0,
2019-07-08,MB-2,closed,a,1,sun,0,
2019-07-08,MB-2,closed,b,1,sun,0,
2019-07-08,MB-2,closed,c,1,sun,0,
2019-07-08,MB-2,closed,a,2,sun,0,
2019-07-08,MB-2,closed,b,2,sun,0,
2019-07-08,MB-2,closed,c,2,sun,1,
2019-07-08,MB-2,closed,a,1,oats,1,
2019-07-08,MB-2,closed,b,1,oats,0,
2019-07-08,MB-2,closed,c,1,oats,2,
2019-07-08,MB-2,closed,a,2,oats,0,
2019-07-08,MB-2,closed,b,2,oats,0,
2019-07-08,MB-2,closed,c,2,oats,3,
2019-07-08,MB-3,open,a,1,sun,0,located directly beside a river
2019-07-08,MB-3,open,b,1,sun,0,lots of foliage. Moist site. Plenty vaccinium bushes. 
2019-07-08,MB-3,open,c,1,sun,0,
2019-07-08,MB-3,open,a,2,sun,0,
2019-07-08,MB-3,open,b,2,sun,5,
2019-07-08,MB-3,open,c,2,sun,0,
2019-07-08,MB-3,open,a,1,oats,0,
2019-07-08,MB-3,open,b,1,oats,0,
2019-07-08,MB-3,open,c,1,oats,2,
2019-07-08,MB-3,open,a,2,oats,0,
2019-07-08,MB-3,open,b,2,oats,2,
2019-07-08,MB-3,open,c,2,oats,5,
2019-07-08,MB-3,closed,a,1,sun,0,
2019-07-08,MB-3,closed,b,1,sun,1,
2019-07-08,MB-3,closed,c,1,sun,0,
2019-07-08,MB-3,closed,a,2,sun,0,
2019-07-08,MB-3,closed,b,2,sun,0,
2019-07-08,MB-3,closed,c,2,sun,0,
2019-07-08,MB-3,closed,a,1,oats,0,
2019-07-08,MB-3,closed,b,1,oats,0,
2019-07-08,MB-3,closed,c,1,oats,0,
2019-07-08,MB-3,closed,a,2,oats,0,
2019-07-08,MB-3,closed,b,2,oats,1,
2019-07-08,MB-3,closed,c,2,oats,5,
2019-07-08,MB-4,open,a,1,sun,0,lots of foliage…. RAINED A LOT
2019-07-08,MB-4,open,b,1,sun,0,"mountain hemlocks, doug firs "
2019-07-08,MB-4,open,c,1,sun,0,
2019-07-08,MB-4,open,a,2,sun,3,
2019-07-08,MB-4,open,b,2,sun,2,
2019-07-08,MB-4,open,c,2,sun,0,
2019-07-08,MB-4,open,a,1,oats,2,
2019-07-08,MB-4,open,b,1,oats,0,
2019-07-08,MB-4,open,c,1,oats,1,
2019-07-08,MB-4,open,a,2,oats,6,
2019-07-08,MB-4,open,b,2,oats,8,
2019-07-08,MB-4,open,c,2,oats,0,
2019-07-08,MB-4,closed,a,1,sun,1,
2019-07-08,MB-4,closed,b,1,sun,4,
2019-07-08,MB-4,closed,c,1,sun,1,
2019-07-08,MB-4,closed,a,2,sun,0,
2019-07-08,MB-4,closed,b,2,sun,5,
2019-07-08,MB-4,closed,c,2,sun,0,
2019-07-08,MB-4,closed,a,1,oats,4,
2019-07-08,MB-4,closed,b,1,oats,7,
2019-07-08,MB-4,closed,c,1,oats,4,
2019-07-08,MB-4,closed,a,2,oats,4,
2019-07-08,MB-4,closed,b,2,oats,8,
2019-07-08,MB-4,closed,c,2,oats,0,
2019-07-08,MB-5,open,a,1,sun,0,LOTS OF RAIN
2019-07-08,MB-5,open,b,1,sun,0,"salmon berry, VACPAR VACDEL, black beetles. Mountain hemlock, silver firs. "
2019-07-08,MB-5,open,c,1,sun,0,
2019-07-08,MB-5,open,a,2,sun,0,
2019-07-08,MB-5,open,b,2,sun,0,
2019-07-08,MB-5,open,c,2,sun,5,
2019-07-08,MB-5,open,a,1,oats,0,
2019-07-08,MB-5,open,b,1,oats,2,
2019-07-08,MB-5,open,c,1,oats,1,
2019-07-08,MB-5,open,a,2,oats,4,
2019-07-08,MB-5,open,b,2,oats,0,
2019-07-08,MB-5,open,c,2,oats,8,
2019-07-08,MB-5,closed,a,1,sun,2,
2019-07-08,MB-5,closed,b,1,sun,2,
2019-07-08,MB-5,closed,c,1,sun,3,
2019-07-08,MB-5,closed,a,2,sun,5,
2019-07-08,MB-5,closed,b,2,sun,3,
2019-07-08,MB-5,closed,c,2,sun,1,
2019-07-08,MB-5,closed,a,1,oats,6,
2019-07-08,MB-5,closed,b,1,oats,5,
2019-07-08,MB-5,closed,c,1,oats,5,
2019-07-08,MB-5,closed,a,2,oats,8,
2019-07-08,MB-5,closed,b,2,oats,3,
2019-07-08,MB-5,closed,c,2,oats,5,